mahjong;cambodia
african_penguin;semiconductor
pikachu;william_renshaw
bat;hungary
paul_kane;plate_tectonics
sand_art_and_play;rainforest
vitamin;york
comics;global_city
newsround;feather
psr_b1620-26c;diamond
go_%28board_game%29;hungary
medieval_music;berlin
manila;milan
bull_shark;dublin
thunderstorm;sea_of_galilee
pig;liverpool_f.c.
palm_oil;police_state
body_mass_index;u.s._open_%28tennis%29
global_warming;swan
tea;fish
new_york_city;portuguese_language
curium;watchmen
gull;algorithm
painting;byzantine_empire
mancala;canberra
roman_britain;optical_telescope
printmaking;berlin
pond;seed
nuclear_weapon;james_ii_of_england
the_origin_of_species;english_channel
tropical_storm_lee_%282005%29;spanish_language
canaletto;pablo_picasso
matilda_of_boulogne;witold_pilecki
weather;police
chaffinch;cleveland%2c_ohio
anthropology;charles_darwin
roman_road;vinaya
tin%28ii%29_chloride;british_house_of_commons
sucre;euphrates
punctuated_equilibrium;achilles
existentialism;python_%28programming_language%29
muhammad;lisbon
desert;library_of_congress
gaza_strip;national_hockey_league
baghdad;australia
wallaby;ivory-billed_woodpecker
adolf_hitler;tiger_shark
8th_century;republic_of_china
sydney_newman;ipod
beriberi;fourteenth_amendment_to_the_united_states_constitution
gal%c3%a1pagos_islands;river
list_of_countries;karl_benz
sperm_whale;sugarcane
theatre;okapi
orion_nebula;london
great_crested_grebe;panama
swastika;layla
extinct_birds;yttrium
dna_repair;wasabi
heard_island_and_mcdonald_islands;water_purification
olive_oil;turkey
great_lakes_storm_of_1913;magellanic_penguin
music_of_new_zealand;actor
theropoda;london_zoo
ordinary_differential_equation;somalia
japanese_war_crimes;the_holocaust
ascariasis;confucianism
coot;armenia
magnetism;whale
insect;emanuel_swedenborg
gull;woodpecker
saltasaurus;helen
football;black_hole
anna_karenina;age_of_enlightenment
doctor_who;milky_way
effect_of_hurricane_katrina_on_new_orleans;isaac
davis_cup;money
menstrual_cycle;hurricane_ivan
kiribati;new_caledonia
european_space_agency;james_cook
sorghum;robert_boyle
frog;mediterranean_sea
calculus;lemon
las_vegas%2c_nevada;inductance
american_revolutionary_war;eocene
mauritania;hubbard_glacier
benjamin_harrison;antwerp
george_herbert;anglican_church_of_australia
maiasaura;diplodocus
thulium;mao_zedong
order_of_the_thistle;whale_song
celtic_mythology;glasgow
india;denmark
tunis;prr_gg1
ozone;vertebrate
ruthenium;sulfur
mustard_plant;ward_cunningham
the_marriage_of_figaro;the_dandy
aircraft;heraclius
jackdaw;frederick_douglass
chess;united_states_house_of_representatives
sodium_sulfate;mecca
mining;atheism
card_game;amsterdam
henry_morrison_flagler;labor_day_hurricane_of_1935
magpie;mathematics
piccadilly_circus;laozi
athens;northwest_africa
music_of_barbados;second_congo_war
osiris;cocoa
pearl;tree
mary_seacole;trimurti
hurricane_andrew;lille
henry_h._rogers;nepal
double_bass;great_white_shark
silver;carbon
china;jesse_owens
edema;autumn
ak-47;tawny_owl
the_bahamas;tree
nitrogen;montevideo
northern_mariana_islands;michael_jordan
gravitation;anguilla
diamond_cut;ocean
tree;angkor_wat
lake_turkana;tripitaka
education_in_the_united_states;proton
dog;krypton
ammosaurus;leon_trotsky
rice;panama_canal
dimetrodon;krazy_kat
diplodocus;extinct_birds
gravitation;seattle%2c_washington
basic;hutu
peace;palestinian_territories
history;james_watt
pea;mecca
belarus;tex
flag_of_south_africa;tyrannosaurus
thalassemia;socrates
egyptian_pyramids;byzantine_empire
gothenburg;portugal
punctuated_equilibrium;bermuda
switzerland;maize
england;measles
iceland;education_in_the_united_states
the_fairy-queen;china
canal;suez_canal
gray_wolf;platinum
pennsylvania_railroad;comics
finland;the_hague
property;alligator
irish_sea;sumatra
numismatics;hurricane_dennis
gettysburg_address;ytterbium
antelope;joseph_stalin
quantum_mechanics;radio_frequency
vampire;anglicanism
down_syndrome;principality
montreal;carbon_dioxide
brain;pigment
russian_language;honduras
glass;walrus
yenisei_river;horn_of_africa
pneumonia;sequoia
east_flemish;democracy
thomas_edison;korea
marshall_islands;dresden
bay_area_rapid_transit;propaganda
roentgenium;nuclear_power
wright_brothers;chernobyl_disaster
philosophiae_naturalis_principia_mathematica;vampire
history_of_puerto_rico;moon_landing
john_milton;fruit
niue;grand_canyon
calgary;the_bahamas
pyotr_ilyich_tchaikovsky;continent
angkor_wat;manifold
jake_gyllenhaal;7th_century
great_red_spot;bhutan
momentum;egypt
sunlight;ethiopia
wellington;actor
penguin;welsh_law
space_suit;sun
royal_marines;rhodium
bluegrass_music;tigris
black_panther;tiger_shark
pterosaur;tijuana
train;herbert_hoover
canada_goose;quantum_mechanics
aardvark;amber
sydney;scottish_episcopal_church
birth_control;water
african_darter;montreal
marseille;naval_battle_of_guadalcanal
senegal;ancient_egypt
pacific_ocean;east-west_schism
galaxy;bay_of_bengal
effects_of_nuclear_explosions;blacktip_reef_shark
piano;henry_viii_of_england
african_dwarf_frog;jaws_%28film%29
thallium;crab_nebula
ascariasis;flag_of_south_africa
irish_poetry;amazon_rainforest
celtic_mythology;leonardo_da_vinci
william_n._page;african_grey_parrot
winter;carnivore
canadian_football;time
music_of_new_zealand;forrest_gump
federated_states_of_micronesia;arctic_circle
johann_wolfgang_goethe;taipei
bear;welsh_law
virtuti_militari;bee
gold_standard;taj_mahal
peafowl;trafalgar_square
globalization;african_union
amber;leif_ericson
abraham_lincoln;jane_austen
giant_hogweed;houston%2c_texas
the_legend_of_zelda_series;pyramid
roentgenium;herring_gull
menthol;sumer
rabies;publishing
jackanory;henry_viii_of_england
silver;cretaceous
chlorine;drawing
55_cancri;mars
chess;pigment
hurricane_alex_%282004%29;minnesota
auto_racing;household_income_in_the_united_states
skylark;berlin
paris;france
oregon;list_of_essential_oils
burkina_faso;set
15th_century;anglican_church_of_australia
geometry;thailand
sutton_hoo;glynn_lunney
odyssey;saturn
brothers_grimm;hot_air_balloon
ganesha;mao_zedong
chives;bird_of_prey
first_macedonian_war;love
universe;ebony
lake_kariba;paraguay
burkina_faso;constitutional_monarchy
iraq_war;ancient_rome
monaco_grand_prix;speaker_of_the_british_house_of_commons
onion;jurassic
rook_%28bird%29;united_kingdom
frog;enzyme_kinetics
welding;mendelevium
zinc;arnold_schwarzenegger
columba;16th_century
zion_national_park;antwerp
canadian_english;china
2004_indian_ocean_earthquake;ivory
timken_1111;list_of_elements_by_name
aardvark;plum
south_america;los_angeles%2c_california
croatia;zebra
bruce_lee;color_blindness
antelope;moon
france;hurricane_katrina
crime_and_punishment;chew_valley_lake
florida;mustard_plant
light;william_butler_yeats
apricot;swaziland
solar_system;judaism
united_nations;martin_luther
light;mauritius
jesus;adolf_hitler
extinction;eyelid
genghis_khan;trinidad_and_tobago
lhasa;book
sputnik_2;elementary_algebra
east_timor;gabon
optical_fiber;river
richard_stallman;basketball
indian_cricket_team;dune
gunpowder;smog
snowdonia_national_park;sistine_chapel_ceiling
domesticated_turkey;canadian_football
library;democracy
enigma_machine;nickel
macbeth;aids
pupil;rockall
jurassic;iridium
convention_on_the_rights_of_the_child;oslo
cookiecutter_shark;cobalt
hawk;islamic_republic
mozilla_firefox;bible
algol;superman
federal_bureau_of_investigation;radio
vicia_faba;united_states_congress
euphrates;crust_%28geology%29
god;magma
ship;the_origin_of_species
oxbow_lake;binoculars
dead_sea_scrolls;sequence_alignment
bible;biology
beaver;aral_sea
radar;benito_mussolini
atlantic_slave_trade;trapdoor_spider
arabic_language;chicago_bears
columba;cardiff
karl_marx;louis_pasteur
ak-47;quantum_computer
archaeology;nile
congo_river;victor_hugo
cereal;kurt_cobain
wikipedia;cheese
1973_oil_crisis;tower_of_london
michigan_state_university;blue_whale
archaeopteryx;slovakia
scramble_for_africa;w._mark_felt
pok%c3%a9mon_trading_card_game;mancala
baboon;space_shuttle_challenger
gliese_876;aquarium
book;amazon_river
californium;yeast
board_game;money
nepal;amtrak
london_underground;frank_lloyd_wright
second_congo_war;greece
myocardial_infarction;canadian_senate
guernsey;william_renshaw
neptune;gull
proxima_centauri;u2
hassium;rosetta_stone
poland;latin_america
pedagogy;yenisei_river
house;athena
royal_marines;battle_of_britain
star_trek__the_original_series;2005_atlantic_hurricane_season
lead;niger_river
scooby-doo;halloween
iraq;peace
rail_transport;linus_pauling
jurassic;tsunami
metallurgy;communism
egypt;lake_victoria
matrix_%28mathematics%29;war
sea_of_galilee;shrine_of_remembrance
eye;dance
hyde_park%2c_london;martin_luther
house;electric_field
smallpox;boston_rfc
doom;autocracy
carbon_dioxide;mary_i_of_england
color_blindness;william_shakespeare
space_shuttle_endeavour;brass_instrument
swastika;meitnerium
scelidosaurus;tobacco
oman;cold_war
kiev;vitamin
banana;central_african_republic
h5n1;dublin
vampire;film
playing_card;cinema_of_the_united_states
apollo_8;cyclops
yenisei_river;rail_transport
turquoise;cubism
coal_tit;bronze_age
pikachu;mario
jurassic;ganesha
heracles;leaning_tower_of_pisa
ornithischia;nazi_germany
james_garfield;romulus_augustus
african_clawed_frog;the_rolling_stones
bill_gates;comet
rwandan_genocide;lightning_rod
rwanda;boston%2c_massachusetts
varanasi;election
athena;hawk
humus;pythagorean_theorem
cerebellum;loch
sun_tzu;board_game
magnetism;achilles
atlantic_slave_trade;tropical_storm_harvey_%282005%29
united_states_constitution;ostrich
gorilla;argon
henri_matisse;sardar_vallabhbhai_patel
guinea-bissau;dominican_republic
tehran;cholera
soil_profile;fed_cup
immanuel_kant;flag_of_south_africa
great_red_spot;sugar
canadian_charter_of_rights_and_freedoms;greece
doom;russian_language
lake_malawi;california
kiev;einsteinium
glorious_revolution;wales
working_poor;karl_marx
constantine_ii_of_scotland;nuclear_weapon
diamond_simulant;flemish_people
history_of_post-soviet_russia;hinduism
gnu;radio_frequency
milky_way;abbey_theatre
heard_island_and_mcdonald_islands;capitalism
pashtun_people;john_mcenroe
internet_explorer;franks
shark;apollo_11
george_washington;computer
indricotherium;sequence_alignment
july_2006_java_earthquake;germanium
isan;linear_algebra
martin_luther_king%2c_jr.;jaws_%28film%29
cambridge;gabon
drama;chernobyl_disaster
flemish_people;welsh_law
animal_law;domestic_goat
gulf_of_mexico;charles_dickens
final_fantasy_%28video_game%29;lord_voldemort
norman_borlaug;barn_owl
beeching_axe;tripoli
anatomy;communication
isambard_kingdom_brunel;battle_of_stalingrad
list_of_test_cricket_triple_centuries;absinthe
linguistics;krypton
trinidad_and_tobago;prime_minister_of_the_united_kingdom
electromagnetic_radiation;the_rime_of_the_ancient_mariner
forth_bridge_%28railway%29;netherlands
japan;greece
jump_rope;rms_titanic
anglicanism;battle_of_france
brown_trout;seed
programming_language;cloud
cotopaxi;victoria_of_the_united_kingdom
nathu_la;automobile
caesium_fluoride;arabic_language
spider;jackdaw
alco_fa;ethics
czech_republic;limerick
amazon_river;australia
inca_empire;copenhagen
cloud;kargil_war
tobacco_smoking;cassini-huygens
vegetable;ocean
book;seawater
trout;speaker_of_the_united_states_house_of_representatives
cheese;astrology
princeton_university;edward_ii_of_england
epic_of_gilgamesh;cape_canaveral
london_sewerage_system;russian_language
timbuktu;limerick
yangtze_river;silent_film
tea;recycling
giganotosaurus;russian_revolution_of_1917
richard_wagner;karl_popper
rhine;amber
2003_atlantic_hurricane_season;thunderstorm
spyware;lawrencium
roman_britain;bill_clinton
age_of_enlightenment;last_supper
boat;mercia
flag_of_south_africa;battle_of_badr
human_dignity;republic_of_china
helen_gandy;millard_fillmore
pluto;nazism
magnesium;vowel
georgia_%28country%29;taoism
u.s._state;jurassic
hurricane_camille;jazz
biosphere;murray_river
shining_path;equatorial_guinea
conflict;politics_of_the_united_kingdom
french_southern_and_antarctic_lands;river_severn
shrine_of_remembrance;bamako
berkelium;kangaroo
down_syndrome;fossil
people%27s_republic_of_china;national_anthem_of_russia
crusades;chemical_element
cretaceous;psychology
josephus;coccinellidae
timken_1111;british_monarchy
republic_of_china;james_d._watson
garden;volcano
google;philippines
music_of_ireland;extrasolar_planet
john_milton;marcel_lefebvre
ming_dynasty;lille
west_virginia;mao_zedong
sorrel;still_game
osmium;z%c3%bcrich
kingman_reef;indian_independence_movement
electricity;common_cold
semiconductor_device;californium
battle_of_austerlitz;north_america
zinc_chloride;hafnium
ytterbium;the_beatles
leonardo_da_vinci;helium
cyprus;ho_chi_minh_city
leisure;tiger_shark
chicago;weather_forecasting
mercantilism;list_of_areas_in_the_national_park_system_of_the_united_states
anne_frank;adolf_hitler
lerwick;lake_titicaca
star;isaac_newton
tennis;dinosaur
sequoia;petroleum
wolverine;madama_butterfly
german_reunification;barcelona
hellenistic_greece;mount_rushmore
harry_potter;latin_alphabet
buddha;alzheimer%27s_disease
jan_mayen;orca
special_relativity;battle_of_tours
medal_of_honor;fossil_record
ice_hockey;the_rolling_stones
charlie_chaplin;swift
ezra_pound;space_invaders
diplodocus;meningitis
eye;train
protoceratops;big_bang
azerbaijani_people;african_penguin
haemophilia;durham
hip_hop_music;hippopotamus
las_palmas_de_gran_canaria;super_chief
cairo;oregon
yeti;darmstadtium
norman_conquest_of_england;great_auk
mars;a_christmas_carol
the_canadian;glaxosmithkline
yom_kippur_war;columbus%2c_ohio
super_chief;radium
uruguay;republic_of_macedonia
abraham_lincoln;essential_oil
anatomy;arctic_circle
malcolm_x;wombat
acid_rain;abraham_lincoln
battle_of_marathon;colombo
aarhus;franks
pythagoras;athens
grover_cleveland;absolute_zero
mosaic;utrecht_%28city%29
cubism;japanese_war_crimes
athena;the_holocaust
maya_civilization;gaza_strip
crow;uranium
heat;acid_rain
palestinian_territories;marxism
michael_ramsey;nile
automated_teller_machine;tern
john_sentamu;all_blacks
invasion;netherlands
gunpowder;columbus%2c_ohio
butter;rainforest
vietnam_war;whooping_crane
temple_of_artemis;tornado
jackal;lutetium
4_vesta;augustus
potato;venezuela
chestnut;ice_sheet
oligocene;cape_horn
stegosaurus;pneumonia
poor_law;radio
social_contract_%28malaysia%29;cleveland%2c_ohio
keira_knightley;barley
montreal;athens
absolute_zero;honey_bee
tobacco_smoking;demosthenes
george_iv_of_the_united_kingdom;carbon_dioxide
chaffinch;boron
nash_equilibrium;forest
federal_bureau_of_investigation;proxima_centauri
anteater;james_k._polk
music_of_italy;nazism
helen;television
mercia;ouagadougou
dorset;aluminium_chloride
pentateuch;bahrain
alphabet;buddhism
puffin;atlantic_ocean
wright_brothers;niagara_falls
taoism;franklin_d._roosevelt
comma_johanneum;trichinosis
andrew_jackson;british_english
thomas_hobbes;english_language
canola;cadmium
thorium;cobalt
styracosaurus;pyrite
rubik%27s_cube;music
shoe_polish;mumbai
diamond_simulant;coin
genealogy;muhammad
1973_oil_crisis;bohemian_rhapsody
telephone_exchange;southern_united_states
the_legend_of_zelda_series;ottawa
proxima_centauri;mosaic
cubeb;wheat
mars_exploration_rover;thomas_jefferson
carl_sagan;national_anthem_of_russia
matter;yom_kippur_war
scooby-doo;ronald_reagan
parsnip;cobalt
postage_stamp;united_states_constitution
coffee;neon
new_england_patriots;arthropod
china;babur
middle_east;guinea
arsenic;u2
spider;humanism
star_wars;christianity
film;periodic_table_%28large_version%29
full_moon;stuttgart
military_history_of_the_soviet_union;vegetable
5th_century;god
african_wild_dog;kuala_lumpur
monaco_grand_prix;metal
gdrt;roman_britain
t._s._eliot;meteorology
parliament_of_canada;mississippi_river
henry_ford;british_empire
strontium;beatles_for_sale
windows_2000;avocado
helen;aztec
bean;barnacle
fox;missouri_river
water_resources;humphry_davy
friedrich_nietzsche;anthropology
cattle;anatomy
quatermass_and_the_pit;holmium
the_magic_flute;babylonia
carl_lewis;tour_de_france
pablo_picasso;houston%2c_texas
2005_sumatra_earthquake;mark_twain
margaret_thatcher;glastonbury_festival
bede;harry_potter
kolkata;charles_babbage
giza_pyramid_complex;paprika
elephant_shrew;compact_disc
fiction;cotswolds
pinworm;amsterdam
at%26t;buenos_aires
great_lakes_storm_of_1913;jarvis_island
2005_sumatra_earthquake;jersey_zoological_park
batman;canada
singapore;list_of_elements_by_name
18th_century;capitalism
france;liverpool_and_manchester_railway
whale_shark;banana
romania;cubism
cactus;poison_gas_in_world_war_i
islamic_republic;zebra_shark
buddha;clay
benito_mussolini;ukraine
scottish_mythology;9th_century
capacitance;cultural_identity
election;riyadh
boa;poultry
new_zealand;super_14
irrigation;eagle
theodore_roosevelt;season
sodium_sulfate;butter
geneva;united_arab_emirates
great_britain;shanghai
monrovia;hip_hop_music
wasabi;brunei
beach;adolf_hitler
data_encryption_standard;asparagus
labor_day_hurricane_of_1935;paul_dirac
effect_of_hurricane_katrina_on_new_orleans;euro
virginian_railway;saint_lawrence_seaway
aquarium;earth%27s_atmosphere
andy_warhol;canada
bedbug;world_trade_organization
nature;istanbul
manifold;united_states_declaration_of_independence
dominica;greek_mythology
john_mcenroe;adolf_hitler
julius_caesar;giganotosaurus
effects_of_nuclear_explosions;beijing
sucre;malaysia
gravitation;salt
nitrogen;south_georgia_and_the_south_sandwich_islands
league_of_nations;ununoctium
metamorphic_rock;rhodium
great_red_spot;reza_shah
architecture;temperate
troodon;james_k._polk
police;jamaica
alfred_hitchcock;caracas
henry_morrison_flagler;english_channel
gustav_holst;tonga
australian_english;basketball
edward_ii_of_england;canadian_pacific_railway
erbium;algiers
comet_hale-bopp;francis_bacon
victoria_of_the_united_kingdom;the_legend_of_zelda_series
election;british_east_india_company
pterosaur;antelope
m1_motorway;great_lakes
mediterranean_sea;dolphin
canterbury;calculus
color;iraq_war
set;zebra
riesling;mathematical_analysis
cyberpunk;asteroid
pink_pigeon;canadian_charter_of_rights_and_freedoms
avalanche;2003_atlantic_hurricane_season
nutmeg;world_war_i
gmail;bird
chocolate;ollanta_humala
radium;pleiades_%28star_cluster%29
nurse_sharks;j._k._rowling
backgammon;chennai
nostradamus;electrical_resistance
south_africa;lake_malawi
color;mexico_city
sickle-cell_disease;united_states_constitution
population_history_of_american_indigenous_peoples;interpol
hurricane_georges;earth
montserrat;thorium
ice_hockey;holmium
republic_of_macedonia;william_shakespeare
radish;nintendo_entertainment_system
tobacco;george_h._w._bush
watercolor_painting;law
ammolite;sport
piano;canada
airship;cultural_diversity
palazzo_pitti;manila
19th_century;lord_voldemort
hot_air_balloon;google
ankylosaurus;city
atlantis;bissau
ytterbium;aircraft
oxford;whale_shark
haemophilia;fertilizer
humphry_davy;copper
nile;denmark
thucydides;fluorine
abstract_art;universe
rock_of_gibraltar;capitalism
alternation_of_generations;benin
paleontology;apollo_8
paul_mccartney;anglicanism
gray_wolf;neptune
mosque;bamako
tashkent;dik-dik
democratic_action_party;bee
pony;jackdaw
ariel_sharon;howland_island
water_purification;german_language
pachycephalosaurus;bison
sermon_on_the_mount;pyotr_ilyich_tchaikovsky
pea;theropoda
ladysmith_black_mambazo;lake_baikal
estonia;haemophilia
fruit;elementary_arithmetic
netherlands;japan
interpol;dada
giant_panda;speed_of_light
the_simpsons;the_dandy
kevin_spacey;fair_isle
togo;information
plasma_%28physics%29;anatomy
batman;lhasa
andrew_johnson;dundee
palau;oligarchy
palladium;tripoli
airbus_a380;extinct_birds
fine_art;grover_cleveland
firearm;currency
political_science;north_america
trinity_test;alchemy
super_mario_bros.;hatshepsut
otto_von_bismarck;franklin_pierce
black_rhinoceros;silver
information;5th_century
21st_century;australia
brazil;war_of_the_spanish_succession
prime_number;saint-pierre_and_miquelon
worm;isle_of_man
marcel_proust;swastika
australia;melbourne
juniper_berry;color_blindness
zx_spectrum;bruce_springsteen
list_of_sovereign_states;cinema_of_the_united_states
20th_century;rainforest
north_sea_flood_of_1953;boron
constitutional_monarchy;fishing
mecca;rhodium
nationalism;bbc_television_drama
cretaceous;shroud_of_turin
permian;rms_titanic
niger_river;bhutan
new_forest;food
david_cameron;eagle
nash_equilibrium;fifa_world_cup
malaria;trout
spyware;humanism
the_lion_king;berlin
pollution;atlanta%2c_georgia
gettysburg_address;honduras
george_h._w._bush;moon
franklin_pierce;bah%c3%a1%27%c3%ad_faith
black_rhinoceros;paleontology
schizophrenia;beriberi
bob_dylan;history_of_anglo-saxon_england
british_empire;la_paz
las_palmas_de_gran_canaria;great_black-backed_gull
antigua_and_barbuda;vertebrate
barack_obama;african_union
john_w._campbell;steel
household_income_in_the_united_states;fourteenth_amendment_to_the_united_states_constitution
united_kingdom;new_delhi
genetic_code;battle_of_normandy
electron;attila_the_hun
jane_eyre;ig_farben_building
george_washington;salt
jersey_zoological_park;banknote
shoe_polish;sierra_leone
gunpowder;full_moon
clock;tehran
gilles_villeneuve;stained_glass
manorialism;pyramid
nigeria;open_source
the_merchant_of_venice;18th_century
arctic_monkeys;andy_warhol
rice;society
able_archer_83;ming_dynasty
wikinews;ben_jonson
glastonbury_festival;owl
osiris;arab_league
rose-ringed_parakeet;hinduism
battle_of_amiens;pete_sampras
new_delhi;super_mario_64
the_marriage_of_figaro;battle_of_moscow
tiger_woods;sumo
animal;african_union
the_origin_of_species;david_beckham
hebrew_calendar;michelangelo
plutonium;manchester_united_f.c.
mauna_loa;decade_volcanoes
people%27s_republic_of_china;guinness
list_of_test_cricket_triple_centuries;bbc_television_drama
nintendo_entertainment_system;henry_vii_of_england
los_angeles%2c_california;french_open_%28tennis%29
star_trek__deep_space_nine;spanish_language
4-2-0;split_infinitive
constantine_i;virus
margaret_sanger;mexico_city
lake_edward;europe
oxyrhynchus;californium
chola_dynasty;thiamine
amtrak;honey_bee
nobel_peace_prize;volt
blue_shark;stargate_sg-1
babur;germany
rotterdam;ape
australian_rules_football;parliament_of_canada
elephant_bird;thorium
grand_canal_of_china;accra
gypsum;united_states_congress
gothenburg;nepal
vivien_leigh;chicago_bears
john_vanbrugh;lilongwe
house_of_lords;columba
company_%28law%29;alternating_current
matilda_of_boulogne;saint_petersburg
history_of_greenland;bulgaria
canadian_charter_of_rights_and_freedoms;mechanical_work
space_shuttle_columbia_disaster;jakarta
kolkata;mind
eukaryote;christianity
helium;diane_keaton
double-decker_bus;roman_britain
domesticated_turkey;latvia
henry_v_of_england;barcelona
common_tern;carnivore
mount_vesuvius;kigali
beirut;bran
planetary_habitability;chew_valley
basketball;george_washington
miguel_de_cervantes;andorra
hyde_park%2c_london;cambrian
walter_scott;shenzhou_spacecraft
margaret_sanger;romania
mineral;protein
manchester;german_language
chestnut;john_locke
carrot;atom
matrix_%28mathematics%29;nationalism
god;adolf_hitler
bodyline;johannesburg
automobile;radon
bryce_canyon_national_park;maxwell%27s_equations
yes_minister;merrimack_river
cactus;mount_rushmore
mongoose;african_buffalo
quantity;gregor_mendel
lutetium;aluminium
banknote;sean_connery
nationality;aquarium
winston_churchill;sesame_street
i_ching;ancient_greece
sri_lankan_civil_war;ramayana
telephone;space_shuttle_program
antonio_vivaldi;gaborone
neodymium;elephant
riesling;m6_motorway
francis_crick;dna
speaker_of_the_british_house_of_commons;mozambique
nile;fashion
greek_mythology;sand_art_and_play
acts_of_union_1707;malta
oil_reservoir;1st_century
durian;romulus_augustus
snow;george_ii_of_great_britain
crusades;mammal
raven;south_africa
constitutional_monarchy;sumo
jordan;tanzania
entropy;hydrochloric_acid
aquarium;beer
citizenship;cactus
qatar;wheat
moon;earth
lord_voldemort;royal_marines
metal;mongolia
parthenon;ludwig_wittgenstein
sylvanus_morley;athens
blade_runner;semiconductor
triassic;enzyme_kinetics
the_holocaust;nintendo
william_howard_taft;beekeeping
crocodile;organism
peanut;bird
wolverine;minimum_wage
tibet;arthur_wellesley%2c_1st_duke_of_wellington
che_guevara;black_hole
corrosion;cook_islands
brachiosaurus;number
helium;hydrogen
mind;arctic_tern
windows_xp;southern_africa
angelica;estonia
ice;linux
mary_seacole;australia
ishango_bone;hutu
ozone_depletion;confucianism
hydrochloric_acid;engineering
community;pottery
monoclonius;rio_de_janeiro
tokelau;colombia
britney_spears;jupiter
anarcho-capitalism;apostolic_succession
16th_century;football
ordovician;film
prion;colorado_river
family;retreat_of_glaciers_since_1850
mozambique;snowdonia
neptune;mars
macau;rockall
hebrides;machu_picchu
wall_street;republic_of_ireland
vampire;abraham_lincoln
shetland;shielded_metal_arc_welding
season;spanish_armada
calvin_coolidge;tehran
new_england_patriots;syria
sand;kosovo
sugarcane;odysseus
united_states_declaration_of_independence;hyena
liverpool;list_of_u.s._states_by_date_of_statehood
volt;ammonia
albania;human
netherlands;spinosaurus
the_x-files;creation-evolution_controversy
the_godfather;argan
thalassemia;polish-lithuanian_commonwealth
world_heritage_site;pottery
rock_pigeon;tobacco_smoking
tajikistan;otto_von_bismarck
sistine_chapel_ceiling;superman
tsar_bomba;cape_town
hurricane_ivan;black_hole
indian_railways;regent%27s_park
gmail;juice
canadian_charter_of_rights_and_freedoms;william_butler_yeats
julius_caesar;george_w._bush
marvin_gaye;paul_mccartney
darfur_conflict;rhythm_and_blues
danube;irish_people
globalization;absinthe
french_guiana;time
mikhail_gorbachev;guernsey
polymerase_chain_reaction;yom_kippur_war
oliver_cromwell;hello_garci_scandal
double-decker_bus;afghan_hound
the_wall_street_journal;lake_titicaca
central_african_republic;liechtenstein
italy;argentina
battle_of_the_eastern_solomons;thomas_edison
humanism;victor_hugo
universe;charlemagne
love;blackpool
palestinian_territories;viking
politics_of_the_united_kingdom;westminster_abbey
macau;raphael
albania;british_english
neighbours;three_laws_of_robotics
hannibal_barca;basil
film;geometry
force;ganges_river
nitrification;zionism
grand_canyon;egypt
hasekura_tsunenaga;raven
marie_curie;capital
blood_type;luftwaffe
malawi;brisbane
tropical_storm_bonnie_%282004%29;rhodium
amazon_basin;the_holocaust
trigonometry;adolf_hitler
cook_islands;periodic_table
camel;abbasid
potato;adolf_hitler
mathematics;friedrich_nietzsche
abstract_art;sparrowhawk
h_ii_region;bahrain
hungary;cataract
i_want_to_hold_your_hand;drawing
plymouth;john_f._kennedy
afrikaans;invertebrate
water;horse
guatemala;19th_century
harry_potter;attack_on_pearl_harbor
board_game;greenland
bohemian_rhapsody;mars_exploration_rover
ptolemy;seed
2005_kashmir_earthquake;walrus
whale_song;real_tennis
chemical_element;michael_jordan
second_crusade;emanuel_swedenborg
manifold;athens
timeline_of_discovery_of_solar_system_planets_and_their_natural_satellites;pi
4-4-0;adolf_hitler
christian_bale;yellowstone_national_park
somalia;united_states
ununtrium;belize
child;clock
europe;latvia
edgar_allan_poe;asia
dakota%2c_minnesota_and_eastern_railroad;potassium
republic_of_china;currency
thorax;sputnik_1
babur;taj_mahal
dimetrodon;manganese
durham;cultural_diversity
fr%c3%a9d%c3%a9ric_chopin;rabat
vincent_van_gogh;aruba
ipod;enigma_machine
island_fox;shenzhou_spacecraft
hubble_deep_field;crusades
weight_training;louis_xiv_of_france
vitamin_c;comet
barack_obama;great_lakes
pong;qatar
binary_star;burkina_faso
ramesses_ii;william_thomson%2c_1st_baron_kelvin
eurasian_jay;anschluss
internet;bridge
music_of_ireland;rupee
eva_per%c3%b3n;ice_age
14th_century;fire
lake_victoria;nintendo_entertainment_system
curium;vegetable
wessex;electricity
argentina;latin_alphabet
algebra;cereal
channel_islands;giza_pyramid_complex
eastenders;judaism
aardvark;batman
seychelles;calvin_coolidge
ethanol;butter
jarvis_island;sea
african_buffalo;trans-siberian_railway
cambridge;antimony
culture;football_%28soccer%29
calculus;ulysses_s._grant
actor;norse_mythology
eagle;korea
archaeology;ecuador
superman;sleep
superman;magnesium
kyrgyzstan;asteroid
wasp;latin_alphabet
sakurajima;thomas_jefferson
england;trigonometric_function
mario;andrew_jackson
dog;mecca
claudius;malta
mikhail_gorbachev;jackdaw
atlantic_ocean;trench_warfare
judaism;yeast
j._r._r._tolkien;erwin_rommel
caesium_fluoride;apricot
edward_i_of_england;horse
common_cuckoo;himalayas
mary_i_of_scotland;mu_arae
sikhism;giuseppe_verdi
nile;western_front_%28world_war_i%29
sistine_chapel_ceiling;fidel_castro
55_cancri;algeria
thunderstorm;watch
das_kapital;canal
mount_nyiragongo;timbuktu
canada_goose;san_marino
the_lord_of_the_rings_film_trilogy;barcelona
aesthetics;munich
